genre,definition
industrial rock,Industrial rock fusion genre fuses industrial music rock It initially originated drew influence early experimental industrial acts Throbbing Einstürzende Neubauten Industrial rock prominent success artists Killing partially Skinny later spawned offshoot genre known industrial The genre accessible mainstream audiences aid acts Nine Inch Nails Marilyn released
rain,Rain water droplets condensed atmospheric water vapor fall Rain major component water cycle responsible depositing fresh water It provides water hydroelectric power crop suitable conditions types major cause rain production moisture moving zones temperature moisture contrasts known weather If moisture upward motion precipitation falls convective clouds strong upward vertical cumulonimbus organize narrow In mountainous heavy precipitation possible upslope flow maximized windward sides terrain elevation forces moist air condense fall rainfall sides On leeward desert climates exist dry air caused downslope flow causes heating drying air The movement monsoon intertropical convergence brings rainy seasons savannah urban heat island effect leads increased amounts downwind Global warming causing changes precipitation pattern including wetter conditions eastern North America drier conditions Antarctica driest The globally averaged annual precipitation land mm Earth higher mm Climate classification systems Köppen classification system use average annual rainfall help differentiate differing climate Rainfall measured rain Rainfall amounts estimated weather known suspected composed sulfuric iron
vapor soul,
thrash metal,Thrash metal simply extreme subgenre heavy metal music characterized overall aggression fast The songs usually use fast percussive beats guitar overlaid lead guitar The lyrical subject matter includes criticism The Establishment concern environmental times shares disdain Christian dogma black The language typically direct approach borrowed hardcore genre emerged early musicians began fusing double bass drumming complex guitar stylings new wave British heavy metal speed aggression hardcore thrash metal developed backlash conservatism Reagan Era widely accessible heavy metal subgenre glam metal developed concurrently early thrash metal movement revolved independent record including Metal Roadrunner underground tape trading industry Europe North The genre commercially successful early thrash metal Megadeth Anthrax joined Testament German thrash Sodom Some bands credited helping develop popularize thrash metal genre declined popularity commercial success numerous genres alternative later nu During bands disbanded moved away thrash metal roots groove metal alternative During thrash metal experienced modern acts Bonded Municipal Waste credited leading metal
rock nacional,
afropop,African popular music styled Afro like African traditional vast Most contemporary genres African popular music build western popular Many genres popular music like rumba derive varying degrees musical traditions taken Americas enslaved These rhythms sounds subsequently adapted newer genres like rhythm African popular music adopted particularly musical instruments recording studio techniques western The term refer specific style sound general term African popular
adoracao,
neo-psychedelic,diverse genre psychedelic music draws inspiration sounds updating copying approaches Originating occasionally seen mainstream pop success typically explored alternative rock It initially developed outgrowth British known acid After flourished widespread international movement artists applied spirit psychedelic rock new sounds include forays psychedelic jangly guitar heavily distorted recording A wave British alternative rock spawned subgenres dream pop
polish pop,
deep groove house,
easy listening,Easy listening mood popular music genre radio format popular It related music encompasses instrumental recordings hit vocals instrumental covers selected popular rock It concentrates music rock roll characteristically music It differentiated instrumental beautiful music format variety including percentage arrangements tempos fit parts broadcast listening music confused lounge popular venues meant listened enjoyment background
reggae,Reggae music genre originated Jamaica late The term denotes modern popular music Jamaica A single Toots popular song use word effectively naming genre introducing global While broad sense refer types popular Jamaican dance term reggae properly denotes particular music style strongly influenced traditional mento American jazz rhythm evolved earlier genres ska Reggae usually relates social political It instantly recognizable counterpoint bass drum downbeat offbeat rhythm The immediate origins reggae ska reggae took use bass percussion deeply linked Afrocentric religion developed Jamaica aiming promoting Soon Rastafarian movement international popularity reggae music associated increased visibility Rastafari spread gospel Reggae music important means transporting vital messages The musician Rastafari soldier musician tools reggae incorporates musical elements rhythm mento rural folk form served largely rural audience dance music alternative hymns adapted chanteys local church draws influence traditional African folk One easily recognizable elements offbeat staccato chords played guitar piano offbeats The tempo reggae usually slower paced ska The concept response found reggae The genre reggae music led drum Some key players sound Jackie Jackson Toots Carlton Barrett Bob Marley Lloyd Brevett Paul Douglas Toots Lloyd Knibb Winston Sly Anthony Creary The bass guitar plays dominant role The bass sound reggae thick equalized upper frequencies removed lower frequencies The guitar reggae usually plays offbeat It common reggae sung Jamaican Jamaican Iyaric Reggae noted tradition social criticism religion reggae songs discuss personal love spread countries incorporating local instruments fusing Reggae en Español spread Central American country Panama mainland South American countries Venezuela Guyana rest South Caribbean music United including popular late evolved subgenres Many reggae artists began careers number European artists bands drawing inspiration directly Jamaica Caribbean community Reggae Africa boosted visit Bob Marley Zimbabwe In authentic reggae biggest sources
dutch edm,
philly rap,
hyperpop,Hyperpop music movement microgenre originated United Kingdom early It characterized maximalist exaggerated popular artists genre typically integrate pop sensibilities drawing themes commonly found hip dance influence varied range origins hyperpop scene commonly traced output English musician collective PC Music associated artists like Sophie Charli Music associated scene received wider attention August Spotify term playlist featuring artists Cook The genre spread younger audiences social media especially movement linked online key figures identify contemporaneous movement conflated overlapping
classic uk pop,
hip house,Hip known rap house house musical genre mixes elements house music hip originated United Kingdom United States mid late group da known hip house having written pressed vinyl August Other early hip house records British artists include Up MARRS Bomb
pixie,A pixie piskie Cornwall pigsie puggsy New mythical creature British Pixies considered particularly concentrated high moorland areas Devon New Forest area Dorset elves Irish Scottish Aos Sí spelt Aos pixies believed inhabit ancient underground ancestor sites stone ringforts In traditional regional pixies generally short stature fond dancing gather outdoors huge numbers modern era depicted pointed green outfit peaked traditionally described round wearing dirty ragged bundles rags happily discard gifts new
socal pop punk,
latin viral pop,
rap latina,
danish pop,
shoegaze,Shoegaze called shoegazing conflated subgenre indie alternative rock characterized ethereal mixture obscured guitar distortion overwhelming It emerged Ireland United Kingdom late groups usually stood motionless live performances The comes heavy use effects performers looking pedals Bloody album Loveless seen defining prominent shoegaze groups include Pale A loose label given shoegaze bands affiliated bands London early Scene That Celebrates Most shoegaze artists drew template set My Bloody Valentine late bands Dinosaur The Jesus Mary Cocteau early shoegaze pushed aside American grunge movement early Britpop forcing relatively unknown bands break reinvent style Since late renewed interest genre nu gaze blackgaze
afro dancehall,
classic italian pop,
roots reggae,Roots reggae subgenre reggae deals everyday lives aspirations Africans African including spiritual black revolution honoring called Jah It identified life ghetto rural Lyrical themes include spirituality struggles black social resistance corrupt government racial A spiritual repatriation Africa common theme roots
taiwan pop,
funk paulista,
motown,Motown Records American record label owned Universal Music It founded Berry Gordy Tamla Records June incorporated Motown Record Corporation April Its portmanteau motor nickname label originally played important role racial integration popular music African label achieved crossover In Motown subsidiary labels Tamla brand outside Motown style soul music mainstream pop Motown successful soul music net worth During Motown achieved records Billboard Hot events Detroit Riots loss key team year pay Gordy moved Motown Los Motown expanded film television independent company MCA Records bought PolyGram purchased label MCA followed MCA successor Universal Music acquired PolyGram spent headquartered New York City UMG subsidiaries Universal Motown Universal Motown Republic From The Island Def Jam Music Group division Universal In UMG announced dissolution Island Def Motown relocated Los Angeles operate Capitol Music operating Capitol In Motown inducted Rhythm Blues Music Hall Fame ceremony held Charles Wright
russian pop,Russian pop music Russian language pop music produced CIS Baltic states foreign countries songs performed primarily Russian languages countries languages This successor popular Soviet music pop idols Alla Pugacheva Valery mainstream pop music diverse ways spread The famous pop stars seen general television music talk music TV channels MTV Russia There Russian Pop radio wonders recent
spanish pop rock,
ska argentino,
latin christian,
dmv rap,
rap calme,
german metal,Germany claims renowned producers performers Germany largest music market largest classical music performed German composers include accomplished popular Johann Sebastian Georg Friedrich Ludwig van Felix Johannes Robert Carl Maria von Richard Wagner Richard Strauss composers created field German The popular composer alive Germany probably film score composer Hans popular music century includes movements Neue Deutsche Welle Hubert disco Modern Dschinghis Milli Bad Boys punk Böhse Nina Die Toten pop rock Michael Herbert indie Famous female singers Marlene Dietrich Hildegard German electronic music gained global Kraftwerk Tangerine Dream pioneer groups The electro techno scene internationally DJs Paul van Scooter hosts large rock music The Rock Ring Rock im Park festival largest Since German capital Berlin developed diverse music entertainment
chamber pop,Chamber pop called short orchestral music genre combines rock music intricate use vocal components drawn orchestral lounge pop emphasis melody chamber initial emergence producers Burt Lee Beach Brian Wilson served formative artists productions Beach albums Pet Sounds Smile cited particularly influential From early early chamber pop acts saw little mainstream The decline attributed costly touring recording logistics reluctance record labels finance instruments like keyboards chamber pop developed subgenre indie rock indie pop musicians opposed distorted simple arrangements common alternative groups In movement paralleled indie genre formed bedrock By term inconsistently applied variety bands work attracted comparisons Pet
indonesian pop rock,
german dance,An allemande Renaissance Baroque common instrumental dance styles Baroque examples Bach It movement Baroque suite paired subsequent preceded introduction named time Mozart survives Germany Switzerland lively social dance related waltz
disco house,French known French filter house style house music originally produced French musicians It form Euro disco popular strand late European dance music The defining characteristics sound reliant filter phaser effects alongside samples late early American European disco tracks original hooks strongly inspired causing thicker harmonic foundations Most tracks genre time feature steady floor beats tempo range beats French house similar future key Purveyors French house include Daft The Supermen Modjo Étienne de
bubblegum dance,
trap soul,
trip hop,Trip hop synonymously musical genre originated early United especially It described psychedelic fusion hip hop electronica slow tempos atmospheric incorporating elements forms electronic sampling movie soundtracks eclectic style emerged experimental variant breakbeat Bristol sound scene late early incorporating influences rap It pioneered acts like Massive The term coined Mixmag piece American producer DJ Trip hop achieved commercial success described alternative choice second half
k-rap,Korean hip known hop subgenre Korean popular widely considered originated late early increasingly Korea hip hop culture includes elements rapping comprises significant The term largely recognized understood
baton rouge rap,
italian indie pop,
tejano,Tejano music música known popular music style fusing Mexican US Tejano combines Mexican Spanish vocal styles dance rhythms Czech German genres particularly polka Tejano music traditionally played small groups featuring accordion guitar bajo Its evolution began northern Mexico variation known reached larger audience late thanks explosive popularity singer Selena Queen performers like Ramon La Ram La Elida Elsa Laura Oscar Jay Emilio Esteban Shelly David Lee Jennifer Peña La
indian instrumental,
indie garage rock,
rock nacional brasileiro,
madchester,Madchester musical cultural scene developed English city Manchester late closely associated indie dance referred saw artists merging indie music elements acid psychedelia The term Madchester coined Factory Tony label popularised British music press early famous groups include Stone Happy Inspiral James It widely seen heavily influenced especially At Haçienda members New major catalyst distinctive musical ethos city called Second Summer
french indie pop,
mexican indie,
southern soul,Southern soul type soul music emerged Southern United The music originated combination including blues bar early strong gospel influence emanated sounds Southern black Bass horn gospel roots vocal important soul This rhythmic force strong influence rise funk The terms synonymously
jazz,Jazz music genre originated communities New Louisiana late early roots blues Since Jazz recognized major form musical expression traditional popular Jazz characterized swing blue complex response polyrhythms Jazz roots European harmony African rhythmic jazz spread drew local musical gave rise different New Orleans jazz began early combining earlier brass band French ragtime blues collective polyphonic But jazz begin single musical tradition New Orleans In arranged swing big Kansas City jazz improvisational gypsy jazz style emphasized musette prominent Bebop emerged shifting jazz danceable popular music challenging played faster tempos Cool jazz developed near end introducing smoother sounds linear melodic saw emergence hard introduced influences rhythm blues small groups particularly saxophone Modal jazz developed late musical basis musical structure free explored playing regular beat formal fusion appeared late early combining jazz improvisation rock electric highly amplified stage In early commercial form jazz fusion called smooth jazz garnering significant radio Other styles genres abound Latin
c-pop,abbreviation Chinese popular music simplified hànyǔ liúxíng loosely defined musical genre artists originating mainland Kong Greater China This includes countries Chinese languages parts Singapore umbrella term covering Chinese pop Chinese Chinese hip hop Chinese ambient Chinese rock diverged early currently main subgenres Mandopop Hokkien The gap Cantopop Mandopop narrowing new Hokkien initially strongly influenced Japanese narrowing trend development popular music China initially vehicle Cultural Revolution Maoist extensive political cultural changes past lost political closely resembles styles Taiwanese Hong South
cumbia villera,Cumbia villera translated subgenre cumbia music originated Argentina late popularized Latin America Latin communities cumbia villera uses vocabulary marginal lower like Argentine lunfardo lenguaje tumbero deals themes everyday life villas miseria poverty use hard promiscuity night outs boliches play cumbia tropical music genres emblematic Tropitango venue football culture barra delinquency clashes police forms antipathy authenticity true villeros inhabitants topics dealt cumbia cumbia villera bases sound heavy use sound keyboard electronic drums elements electric The cumbia characteristic sound born taking influences Colombian Peruvian cumbia sonidera cumbia santafesina realm Argentine electronic music music creator cumbia Pablo admitted lyrics influenced bands Argentine punk rock like Minutos Argentine rock rolinga like Viejas This overview time went genre bands started explore different new fusions like cumbia rapera Bajo Palabra mixing cumbia villera hip tropipunk Kumbia Queers mixing cumbia villera cumbia villera compared gangsta rock baile music
german techno,
australian hip hop,Australian hip hop traces origins early largely inspired hip hop urban musical genres United As form Australian hip hop commercially viable style music longer restricted creative artists The Kid Manu Iggy Hilltop Bliss n Eso Youngn having achieved notable Australian hip hop primarily released independent record owned operated artists Despite genesis offshoot American hip Australian hip hop developed distinct personality reflects evolution Australian musical
dutch rap pop,
samba,Samba known samba urbano carioca Carioca simply samba carioca Brazilian music genre originated communities Rio de Janeiro early Having roots Brazilian folk especially linked primitive rural samba colonial imperial considered important cultural phenomena Brazil Present Portuguese language word originally designate Over meaning extended circle dance This process establishing musical genre began inaugural landmark song launched Despite identified Brazilian music industry pioneering style connected rhythmic instrumental point view maxixe samba modernly structured musical genre late neighborhood Estácio soon extended Oswaldo Cruz parts Rio commuter Today synonymous rhythm new samba brought innovations melody thematic Its rhythmic change based new percussive instrumental pattern resulted syncopated style opposed inaugural notably characterized faster longer notes characterized cadence far simple ones palms Also innovated formatting samba musical organization second parts melody In sambistas Estácio structured redefined urban Carioca samba genre modern finished In process establishment urban modern musical Carioca samba decisive role samba responsible defining legitimizing definitively aesthetic bases radio greatly contributed diffusion popularization genre song samba achieved major projection Brazil main symbols Brazilian national Once criminalized rejected definitely music mythic genre received support members upper classes cultural time established genesis paved way fragmentation new styles composition interpretation Mainly Brazilian samba received abundant denote solid derivative strands bossa partido samba de samba de enredo samba de terreiro nomenclatures somewhat imprecise samba barulho samba epistolar ou samba fonético merely derogatory sambolero sambão modern samba emerged beginning century predominantly time signature varied conscious use sung chorus batucada stanzas declaratory Its traditial instrumentation composed percussion instruments ganzá surdo accompaniment inspiration choro classical guitar In Brazilian National Institute Historic Artistic Heritage declared Carioca samba matrixes samba de samba de enredo cultural heritage
comic,Comics medium express ideas combined text visual It typically takes form sequence panels Textual devices speech onomatopoeia indicate sound There consensus theorists historians definition emphasize combination images sequentiality image historical aspects mass reproduction use recurring Cartooning forms illustration common means fumetti form uses photographic Common forms include comic editorial gag comic Since late bound volumes graphic comic tankōbon increasingly online webcomics proliferated history comics followed different paths different Scholars posited far Lascaux cave By comics particularly United western Europe France The history European comics traced Rodolphe cartoon strips popular following success strips books The Adventures American comics emerged mass medium early century advent newspaper comic comic books followed superhero genre prominent Superman appeared Histories Japanese comics cartooning propose origins early Modern comic strips emerged Japan early output comics magazines books rapidly expanded War II era popularity cartoonists Osamu Comics lowbrow reputation end century began find greater acceptance public English term comics singular noun refers medium visual art plural referring works collectively popular reading
southern rock,Southern rock subgenre rock music genre It developed Southern United States rock country blues focused generally electric guitars Author Scott Bomar speculates term coined Mo writing underground The Great Speckled review Allman Brothers Band
pagode novo,
turkish alt pop,
cancion melodica,
swedish hip hop,Emerging half Swedish hip hop originated cities Stockholm Early rappers Sweden performed Funkalics The Latin different acts united innovative use Swedish debuted decade later paved way breakthrough Swedish hip popular rappers use different
canadian trap,
dreamo,
la pop,
tennessee hip hop,
electric blues,Electric blues refers type blues music distinguished use electric amplification musical The guitar instrument popularly amplified early pioneers Walker late John Lee Hooker Muddy Waters Their styles developed West Coast Detroit War II Chicago differed predominantly By early Little Walter featured soloist blues harmonica small microphone fed guitar Although took little electric bass guitar gradually replaced bass early Electric organs especially keyboards later widely electric
uk contemporary r&b,
latin worship,
swedish trap pop,
filter house,Filter house refer type house novel Nisi Shawl
nu jazz,Nu jazz known future genre jazz electronic The music blends jazz elements musical electronic free
korean r&b,
brooklyn indie,
german drill,
rap marseille,
grime,Grime genre electronic music emerged London early It developed earlier UK dance style UK draws influences hip The style typified syncopated generally beats features aggressive jagged electronic Emceeing significant element lyrics revolve gritty depictions urban style initially spread pirate radio stations underground scenes achieving mainstream recognition UK artists Dizzee Lethal In grime began receive popular attention The genre described significant musical development UK generally considered distinct hip hop roots primarily genres UK garage
minnesota hip hop,
christian rock,Christian rock form rock music features lyrics focusing matters Christian emphasis typically performed Christian The extent lyrics explicitly Christian varies Many bands perform Christian rock ties contemporary Christian music media bands
indiecoustica,
musica popular colombiana,
scorecore,
background piano,
glitchcore,Hyperpop music movement microgenre originated United Kingdom early It characterized maximalist exaggerated popular artists genre typically integrate pop sensibilities drawing themes commonly found hip dance influence varied range origins hyperpop scene commonly traced output English musician collective PC Music associated artists like Sophie Charli Music associated scene received wider attention August Spotify term playlist featuring artists Cook The genre spread younger audiences social media especially movement linked online key figures identify contemporaneous movement conflated overlapping
sufi,Sufi music refers devotional music inspired works Sufi poets like Bulleh Amir Khwaja Ghulam form Sufi music commonly found Sufi culture South music central Sema ceremony whirling set form music called vocal instrumental piece featuring Turkish classical instruments ney reed The West African gnawa Sufis Indonesia Afghanistan Morocco music central Some Sufi orders taken approach akin puritan forms declaring music unhelpful Sufi love songs performed ghazals solo genre accompanied percussion repertoire songs Sufi
kentucky hip hop,
post-disco,called term describe aftermath popular music history circa imprecisely beginning unprecedented backlash disco music United leading civil unrest riot Chicago known Disco Demolition Night July indistinctly ending mainstream appearance new wave During dying disco displayed increasingly electronic character soon served stepping stone new hip euro succeeded underground club music called direct underground movement disco simultaneously featured different took place East Coast disco This known catering New York metropolitan initially led urban contemporary artists partially response artistic downfall disco Developed rhythm blues sound perfected electronic dub music typified New York City music groups like Train Unlimited Touch followed urban approach like Material experimental like market controlled independent record companies generated chart success Most creative control hands record producers club DJs trend outlived musical styles emerged era include Italo disco led development early alternative house techno
rap conciencia,
rumba,The term rumba refer variety unrelated music synonym northern late century denote complex secular music styles known Cuban Since early century term different countries refer distinct styles music tangentially related original Cuban The vague etymological origin term interchangeable use guaracha settings bufo largely responsible worldwide polysemy In primary marketing term Cuban music North West Central rise pachanga entered English lexicon early early verb denote ballroom In anglicised spelling prevalent recommended distinguish traditional Cuban Also entered Spanish flamenco world palo inspired Cuban gave rise forms urban music known Throughout Latin acquired different referring local Colombian rumba criolla At began term music African later giving rise styles Congolese
drill,Drill subgenre hip hop music originated Chicago streets early It sonically similar trap music subgenre lyrically similar gangsta rap Drill music progressed American mainstream circa following success rappers like Chief Lil Lil Fredo G King Pop Smoke King local fans significant internet alongside producer Young Media attention signing drill musicians major labels Artists genre noted style lyricism association crime regional subgenre UK drill emerged particularly district beginning UK drill rose prominence influenced regional Brooklyn drill Brooklyn late
rap espanol,
chillhop,Lofi hip hop known chillhop lofi beats study form downtempo music combines elements hip hop It popularized YouTube referred Internet
post-punk,called new broad genre punk music emerged late musicians departed traditional elements raw instead adopting variety sensibilities Inspired energy DIY ethic determined break rock artists experimented styles like electronic dance production techniques dub ideas art including critical modernist cinema These communities produced independent record visual multimedia performances early vanguard represented groups including Siouxsie Public Image Pop Cabaret Pere Joy Talking Gang The movement closely related development ancillary genres gothic industrial By provided foundation New Pop movement later alternative independent
vocal house,House music genre characterized repetitive beat typical tempo beats It created DJs music producers underground club culture late DJs began altering disco songs mechanical pioneered DJs producers Chicago Frankie Ron Jesse Chip Steve Farley Marshall Phuture House music expanded American cities New York City worldwide large effect pop especially dance It incorporated major international pop artists including Whitney Janet Jackson Kylie Pet Shop Boys Madonna produced mainstream hits Lil Me Robin Feeling Many house DJs continue remixes pop House music remained popular radio clubs retaining foothold underground scenes
pop emo,Emo pop known emo pop punk fusion genre combining emo melodies pop punk pop Emo pop features music style concise songs Emo pop began bands like Jimmy Eat Get Up Weezer Promise The genre mainstream early Jimmy Eat album Bleed including song In emo pop bands achieved mainstream success included Fall Out My Chemical Disco The popularity emo pop declined prominent artists genre disbanding abandoning emo pop
flamenco urbano,
bass house,Bass House refer style house music appeared Styles house listed NRHP Russell Boarding listed NRHP Giles Tennessee
axe,An axe ax American spelling implement millennia split cut harvest ceremonial heraldic The axe forms specialised uses generally consists axe head modern hand axe handle million years Hafted axes date The earliest examples handled axes heads stone form wooden handle attached method suit available materials Axes iron steel appeared technologies axe example simple type dual inclined This reduces effort needed wood It splits wood parts pressure concentration The handle axe acts lever allowing user increase force cutting length handle known choking For fine chopping axe positive felling double bitted axe reduces cutting axes shallow wedge splitting axes deeper Most axes double symmetrical axis specialist broadaxes single bevel usually offset handle allows finishing work putting knuckles risk Less common integral joiner tool tool use A tool similar origin modern axes steel heads wooden typically hickory US ash Europe plastic fibreglass handles Modern axes specialised size Hafted axes short handles designed use hand called hand axes term hand axe refers axes handles Hatchets tend small hafted axes hammer As axes frequently
bedroom soul,
lo-fi indie,Indie rock subgenre rock music originated United United Kingdom New Zealand Originally describe independent record term associated music produced initially interchangeably alternative rock pop primary scenes movement cultural scene based convergence noise pop jangle popular large student Independent labels Flying Nun began promote scene New inspiring key college rock bands United States Pixies Other notable scenes grew Manchester thriving use term started shift reference recording companies describe style music produced punk During grunge punk revival bands US Britpop bands UK broke term lost original The term associated bands genres remained dedicated independent By end indie rock developed subgenres related including noise math In changes music industry growing importance internet enabled new wave indie rock bands achieve mainstream leading questions meaningfulness early new group bands played version guitar rock emerged The commercial breakthrough scenes led The The White The Hives The Emo broke mainstream culture early By end proliferation indie bands referred term subgenre certain type indie way Britpop British guitar music
irish rock,Rock music known Irish music Ireland British Invasion brought British psychedelic rock styles The Irish music scene dominated unique Irish phenomenon groups professional performers played dancehalls clubs country putting professional playing American British hits From onwards rock music Ireland followed similar path rock music
cantopop,Cantopop contraction pop Kong pop genre pop music written standard Chinese sung Cantopop refer cultural context production The genre began associated Hong Kong popular music middle Cantopop reached height popularity slowly declining experiencing slight revival The term coined term In eighties Cantopop reached highest glory fanbase concerts allover especially Mainland South This obvious influx songs Hong Kong movies Western pop Cantopop influenced international including rock electronic Cantopop songs invariably performed Boasting fanbase Southeast Asian nations Malaysia East Asian regions South Taiwan provinces Guangdong Guangxi southeastern mainland Hong occasionally remain significant hubs
gym hardstyle,
industrial,Industrial music genre music draws transgressive provocative sounds AllMusic defines industrial music abrasive aggressive fusion rock electronic blend electronics experiments musique white punk The term coined founding Industrial Records members Throbbing Gristle Monte While genre originated Throbbing emergence United artists labels vital genre emerged United States industrial artists experimented noise aesthetically controversial musically sexual Prominent industrial musicians include Throbbing Monte Boyd Cabaret On Throbbing debut album The Second Annual coined slogan music industrial Industrial music scenes developed San Francisco The precursors influenced development genre included musique concrète varied world music sources addition acts Velvet Lou Metal Machine Music Musicians cite writers William Burroughs artists Brion term small coterie groups individuals associated Industrial Records late broadened include artists influenced original movement Over influence spread blended styles including synth music rock Front Front Line Sister Machine acts associated Wax Records music primary subgenre developed notable bands genre Front Line Assembly Skinny The notable hybrid genres industrial rock industrial include bands Nine Inch Fear released albums
swedish electropop,
deep german hip hop,
cumbia sonidera,
thai pop,Thai pop genre Thai music roughly equivalent western It emerged known string music gaining mainstream popularity dominated Thai music The term extremely covering Thai dance rap popular music normally excluding folk phleng phuea origins string lie American artists like The Ventures Dick rockabilly country western brought Thailand American Australian soldiers serving Vietnam late early It drew heavily genres British including rock garage rock Hollywood film Since mixed funk
punk blues,Punk blues blues rock music genre mixes elements punk rock Punk blues musicians bands usually incorporate elements related protopunk blues Its origins lie strongly garage rock sound blues said favor common simplicity emotion shared punk blues Chet Immortal Lee County Killers blues honest reactions bit turned bit
electro latino,
indonesian indie,
uk post-punk,
chillwave,Chillwave considered synonymous hypnagogic music microgenre emerged late It loosely emulates electropop engaging notions memory Common features include faded dreamy retro pop escapist lyrics topics include beach psychedelic mellow effects processing vintage music genres develop primarily The term coined satirical blog Hipster Runoff lampoon microgenres indie acts sounds resembled incidental music VHS Prior music labelled dream Leading acts included Neon Washed Toro y gained attention artists exploited led oversaturation acts contributed original The phrase came pejorative perceived shallowness reliance Detractors criticized term having contrived media It heralded early proliferation Internet music including originated ironic variant By chillwave faded original artists listeners genre shifting focus music
jazz pop,Pop music genre popular music originated modern form United States United The terms popular music pop music describes music popular includes disparate During pop music encompassed rock roll styles Rock pop music remained roughly synonymous late pop associated music music appears record charts seen pop genre distinguished chart Identifying factors usually include repeated choruses short songs written basic format rhythms tempos easily danced Much pop music borrows elements styles list styles pop
uk drill,
perreo,known style dance party music associated reggaeton emerged late Puerto This style dancing music created DJ Sandunguero albums popularized spread worldwide website dance focuses moving It danced Men women dance like dances danced moving hips danced Bad Bunny song called Perreo song women emphasize perreo danced necessarily This goes Ivy empowered reggaeton culture putting songs message women ones lead remind respect important
french rock,French rock form rock music produced primarily lyrics French rock born early songwriter jazz player Boris Vian wrote parody rock songs Magali Noël Henri Although Vian despised rock wrote songs highly acclaimed French critics today considered real French rock acts emerged end decade beginning Johnny Hallyday achieving acts like Les Chaussettes led French rock star Eddy Les Chats sauvages Dick contributed emergence band writing real classic French rock Twist à The emergence movement slowed commercial success French names like Jacques Nino Ferrer Michel Polnareff emerged middle like Ronnie Bird Les Variations commonly considered forerunners French hard achieved cult France saw arrival Alan Breton wave progressive rock bands like Gong actually French band Dynastie Atoll There glam rock like The Frenchies controversial cult artist Alain Jacques album BBH fit categories transitional album classic era rock sound la Rolling punk considered seminal milestone French star Christophe successful especially seminal albums Les Paradis perdus Les Mots bleus title song considered major French punk rock including bands like Stinky Electric Oberkampf Métal It period variety music artists Catherine Bernard Lavilliers flirted completely changing French singer Serge included classic Histoire de Melody accessible à tête de chou reggae Aux armes et transitioned completely chanson rock started earlier offered rock new Another know Gérard cult artist deliberately live maintained ballad Il voyage en solitaire major song progressive album La Mort continued collaborate artists French hard rock heavy metal took end spearheaded changed course The changing political culture accompanied explosion youth This helped emergence distinct French rock match lucrativeness American British rock French progressive rock continued relative bands Terpandre Emeraude achieving underground success met critical The success Téléphone started peaked took French rock new The new wave dominated sold Alain overshadowing works critical darlings Taxi Girl genre later saw emergence Étienne remain major figure French music Another notable artist early Axel scored massive hit song Charlélie Couture marked time Comme un avion sans The commercially featured critically acclaimed Marquis de Orchestre rouge Kas The art rock band Les Rita Mitsouko enjoyed international decade saw emergence Alain started hits new wave Bashung critically acclaimed French rock singer home albums hailed There second wave French punk rock included acts Bérurier Les Négresses Les Garçons Les Les Satellites seminal Mano genre evolve worldbeat leader Manu Chao later worldwide successful solo The major French indie rock act Les considered major reference scene French hard rock heavy metal took shape continuing success Trust bands like Sortilège early metal acts like Loudblast dominated aura output Osez Joséphine major classic Fantaisie saw emergence Noir Désir classic Veuillez rendre qui elle dated late sound fitted grunge album Tostaky huge popular critical selling solidly decades French rock dominated punk One Is funk Noir like Aston Villa Saez trend continue Eiffel The popular Louise Attaque refined Noir Désir sound fit indie folk allow achieve enormous More indie Diabologum later offshoots Expérience Programme sound influenced Other notable artists include Dominique A Miossec sport minimalistic pop bands Billy ze Kick et les Gamins en Les Innocents band Kat artists Alain Laurent Voulzy Francis enjoyed major commercial success French heavy metal saw emergence cult black metal scene Légions Noires Vlad Belkètre Torgeist acts associated like Blut Aus Nord nu metal acts course including Mass Eths alongside bands influenced Noir dilution rock acts like Benjamin Biolay Phoenix incorporating rock closer chanson Dominique French touch Other artists flirting rock include Jeanne Keren La Grande Bénabar Innocents leader artists specifically influenced Biolay include Florent Arman Bertrand Belin Albin de la It saw reemergence wave patriarchs Indochine album Paradize selling enormously new The French heavy metal enjoy international acts like Gojira underground black metal scene striving bands like Deathspell Peste Noire experimental On indie rock Dionysos extremely popular hit Song Jedi Western sous la acts like Dragon Ultra Orange confidential Indie acts Yelle achieve success The second half decade emergence French garage rock revival BB Crash Mademoiselle K Stuck notable acts include art wave outfit La Femme Christine French comedy band Shaka Ponk started achieve major Other notable acts include indie rock band Frànçois Atlas Mountains active started obtain critical acclaim achieving success pop artist Arnaud art rock band Bab following artists groups classified decade career spans multiple took time
groove metal,Groove metal subgenre heavy metal music began early The genre achieved success continued having success Inspired thrash metal traditional heavy groove metal features raspy singing heavy guitar syncopated Unlike thrash groove metal usually slower uses elements traditional heavy Pantera considered pioneers groove groove metal expanded bands like White Machine The genre continued bands like Lamb Five Finger Death
drill espanol,
dutch rock,Dutch rock form rock music produced primarily English language
anime score,
nouvelle chanson francaise,
previa,The Toyota known Toyota Estima Toyota Toyota Tarago minivan produced Toyota October derived Spanish Italian Toyota saw Previa vehicle preview technologies future The Previa second largest minivan lineup Japan bigger luxurious
gaming edm,
arrochadeira,
